rolllouts,win_rate,time_taken
100,0.16,0.012882586277604384
200,0.25,0.025509017503632735
300,0.38,0.034107355615116915
400,0.4,0.04619203381700455
500,0.5,0.06918468445791048
600,0.47,0.13255471251019668
700,0.56,0.16853102691524044
800,0.57,0.15797569730747282
900,0.61,0.162179311530594
